returnType,Modifier and Type,Method and Description
boolean,add(E e) ,"Inserts the specified element into this queue if it is possible to do so immediately without violating capacity restrictions, returning true upon success and throwing an IllegalStateException if no space is currently available."
E,element() ,"Retrieves, but does not remove, the head of this queue."
boolean,offer(E e) ,Inserts the specified element into this queue if it is possible to do so immediately without violating capacity restrictions.
E,peek() ,"Retrieves, but does not remove, the head of this queue, or returns null if this queue is empty."
E,poll() ,"Retrieves and removes the head of this queue, or returns null if this queue is empty."
E,remove() ,Retrieves and removes the head of this queue.
returnType,Modifier and Type,Method and Description
boolean,add(E e) ,Ensures that this collection contains the specified element (optional operation).
boolean,addAll(Collection<? extends E> c) ,Adds all of the elements in the specified collection to this collection (optional operation).
void,clear() ,Removes all of the elements from this collection (optional operation).
boolean,contains(Object o) ,Returns true if this collection contains the specified element.
boolean,containsAll(Collection<?> c) ,Returns true if this collection contains all of the elements in the specified collection.
boolean,equals(Object o) ,Compares the specified object with this collection for equality.
int,hashCode() ,Returns the hash code value for this collection.
boolean,isEmpty() ,Returns true if this collection contains no elements.
Iterator<E>,iterator() ,Returns an iterator over the elements in this collection.
boolean,remove(Object o) ,"Removes a single instance of the specified element from this collection, if it is present (optional operation)."
boolean,removeAll(Collection<?> c) ,Removes all of this collection's elements that are also contained in the specified collection (optional operation).
boolean,retainAll(Collection<?> c) ,Retains only the elements in this collection that are contained in the specified collection (optional operation).
int,size() ,Returns the number of elements in this collection.
Object[],toArray() ,Returns an array containing all of the elements in this collection.
<T> T[],toArray(T[] a) ,Returns an array containing all of the elements in this collection; the runtime type of the returned array is that of the specified array.
